hour_ended,P Cl mg/l,P water flux mm/day,Q Cl mg/l,Q water flux mm/day,ET0 mm/day,S mm
1983-10-11,3.95,15.499999999999998,8.1,8.97790223463687,0.4276106669547541,19.3050042459622
1983-10-12,18.8,12.5,10.1,7.070958100558659,0.3060414936850724,15.549080998275421
1983-10-13,18.8,15.75,10.1,5.221407821229049,0.2807793300442612,10.008062428275093
1983-10-14,18.8,5.25,10.1,4.634572625698325,0.41228185805285944,8.451661402883941
1983-10-15,18.8,39.5,10.1,12.259231843575414,0.2059647721158772,25.27822605716939
1983-10-16,18.8,13.5,10.1,9.580826815642457,0.6126660273805203,21.11082450614943
1983-10-17,18.8,37.5,10.1,9.305522346368717,0.4114504225906868,20.009191511707503
1983-10-18,18.8,10.5,10.1,9.527078212290505,0.180251765465083,22.387642001531876
1983-10-19,0.0,0.0,7.9,5.049201117318437,0.7743868627755397,9.648449465731005
1983-10-20,0.0,0.0,7.9,4.866863128491621,0.4664584078741586,8.790063593932079
1983-10-21,0.0,0.0,7.9,4.702525139664803,0.9898944800528088,8.251954288005178
1983-10-22,0.0,0.0,7.9,4.083284916201118,0.9404444833232041,5.7833061483003165
1983-10-23,0.0,0.0,7.9,3.4303575418994416,1.1387246622688068,2.541007833477995
1983-10-24,0.0,0.0,7.9,2.9722122905027937,0.7041026508606819,-0.22966601650107946
1983-10-25,12.4,0.12006417,7.9,2.628829608938547,0.4374181193085373,-2.6699223521479123
1983-10-26,0.0,0.0,8.7,2.349729050279329,0.5903871036133164,-4.946119891028124
1983-10-27,8.4,3.29627742,8.7,2.177069832402235,0.1994205800861361,-6.571171776176093
1983-10-28,8.4,2.68037234,8.7,2.022486033519554,0.3152989383635313,-8.044659777250281
1983-10-29,0.0,0.0,8.7,1.8156871508379893,0.5388557006710282,-10.37074387119831
1983-10-30,8.4,8.168973285,8.7,1.9860586592178773,0.2227460392005386,-8.465028844345387
1983-10-31,8.4,0.7281771399999999,8.7,1.794594972067039,0.36448660231175656,-10.542167131036683
1983-11-01,8.4,17.445533479999998,8.7,3.3707513966480445,0.1453376273297834,2.9375607594877446
1983-11-02,4.3,1.97676243,8.3,2.596550279329609,0.19793563341276207,-2.7715239516571577
1983-11-03,4.3,2.30541885,8.3,2.4044078212290505,0.2143134888527989,-4.5407203297492185
1983-11-04,0.0,0.0,8.3,2.2208128491620114,0.14859335681593944,-6.125107434053046
1983-11-05,4.3,0.32865641999999995,8.3,2.06977374301676,0.411760992912976,-7.60932758362777
1983-11-06,4.3,0.08004278,8.3,1.9788687150837991,0.1738411581709912,-8.577997939098411
1983-11-07,0.0,0.0,8.3,1.8924636871508376,0.2222642489824606,-9.521462057384364
1983-11-08,0.0,0.0,8.3,1.8111620111731843,0.0034137728501931986,-10.452577661105416
1983-11-09,2.5,0.24999999999999994,7.8,1.7231983240223467,0.07192501115311914,-11.542345531307626
1983-11-10,0.0,0.0,7.8,1.6339776536312849,0.0913821778837188,-12.687186626954393
1983-11-11,0.0,0.0,7.8,1.5476731843575418,0.01704051882221846,-13.88970371679895
1983-11-12,0.0,0.0,7.8,1.4745167597765367,0.07513015278260171,-14.971586983344615
1983-11-13,2.5,2.25,7.8,1.3996256983240225,0.0933047493367342,-16.144156918593882
1983-11-14,0.0,0.0,7.8,1.3244078212290504,0.17742588310079807,-17.411469256079958
1983-11-15,0.0,0.0,7.8,1.2867737430167596,0.2760948506233689,-18.08714820385949
1983-11-16,0.0,0.0,7.5,1.237902234636871,0.09078554447837857,-18.977469682513977
1983-11-17,0.0,0.0,7.5,1.189382681564246,0.05573534229432762,-19.910974997414712
1983-11-18,0.0,0.0,7.5,1.1366396648044688,0.0,-20.96687404538889
1983-11-19,0.0,0.0,7.5,1.0924692737430168,0.0,-21.914144682598877
1983-11-20,2.5,1.518924355,7.5,1.0616983240223463,0.1647277185774428,-22.618708537273196
1983-11-21,0.0,0.0,7.5,1.021324022346369,0.3491402059345712,-23.514520683738414
1983-11-22,0.0,0.0,7.5,0.9787374301675976,0.2751439980652962,-24.566178823518605
1983-11-23,0.0,0.0,8.8,0.9865307262569836,0.34044631421212035,-24.470932800093788
1983-11-24,2.5,9.14072805,8.8,1.1033296089385474,0.16208251712380387,-22.02991619650428
1983-11-25,2.5,65.50855099,8.8,13.899821229050279,0.10259822188739501,29.913265398214367
1983-11-26,2.5,43.1645491,8.8,29.692860335195533,0.14130518195743494,36.48261011920813
1983-11-27,2.5,60.93818699000001,8.8,39.92477932960895,0.1658332513807743,39.626133467262505
1983-11-28,2.5,18.535365215,8.8,18.13738826815642,0.3306078667634974,29.72033555765527
1983-11-29,2.5,0.7806973749999999,8.8,7.9460949720670415,0.18085144966504216,17.566696468622393
1983-11-30,7.7,1.2885156049999995,7.8,5.44550279329609,0.10517627359005548,10.95820295672659
1983-12-01,7.7,0.253909115,7.8,4.465659217877095,0.024267437665157227,7.390893874080017
1983-12-02,0.0,0.0,7.8,3.9137932960893846,0.8469110400048752,4.951102699164494
1983-12-03,0.0,0.0,7.8,3.5548240223463683,0.5611133453466548,3.135382025764163
1983-12-04,0.0,0.0,7.8,3.308354748603352,0.46739482107267777,1.7579450776973786
1983-12-05,7.7,4.5,7.8,3.2107374301675984,0.018885294265919013,1.1585003041664004
1983-12-06,7.7,0.4999999999999999,7.8,3.0636201117318427,0.09869285846225044,0.2697194744506708
1983-12-07,1.0,2.888733285,7.1,2.975606145251396,0.11035683439879074,-0.3489370591570328
1983-12-08,1.0,78.527212705,7.1,29.42062290502793,0.05190681532523761,40.755641420087784
1983-12-09,1.0,18.699662805000006,7.1,26.403561452513962,0.07740220734785297,37.51960269858139
1983-12-10,1.0,0.9847487999999998,7.2,7.851343575418994,0.0,17.42710056714324
1983-12-11,0.0,0.0,7.2,5.314248603351954,0.0,10.529738993407156
1983-12-12,1.0,0.52384571,7.2,4.484011173184358,0.0,7.428433882294723
1983-12-13,1.0,7.219666770000003,7.2,5.934921787709496,0.12066533592140527,12.265418664348376
1983-12-14,1.8,22.670757715,6.7,9.01827653631285,0.1018439215,19.528660449477712
1983-12-15,1.8,2.296933545,6.7,10.713343575418996,0.04434420438517922,22.4785425323643
1983-12-16,1.8,3.55935534,6.7,6.6245027932960925,0.04738994271974493,14.281787027408642
1983-12-17,1.8,0.4960068199999999,6.7,5.10563966480447,0.028164287634725844,9.886515900869226
1983-12-18,1.8,1.822721255,6.7,4.114030726256983,0.04282133021054708,5.888041352495782
1983-12-19,1.8,14.37815332,6.7,6.211256983240223,0.03542865422066427,13.033857108855932
1983-12-20,1.8,21.78058138,6.7,8.442754189944132,0.07960242868797422,17.183626401672946
1983-12-21,5.0,4.17655305,8.1,12.798804469273744,0.10494676795019743,25.58519334563785
1983-12-22,5.0,6.194651065,8.1,7.381307262569831,0.10975991907976768,16.037950154418212
1983-12-23,5.0,20.981503595,8.1,13.08288268156425,0.03822026651904942,25.711680746509824
1983-12-24,5.0,37.28074155,7.4,28.862321229050284,0.07322876532416196,36.22348934408762
1983-12-25,5.0,18.888186705000006,7.4,12.595650837988828,0.09473095215933183,24.12758682592689
1983-12-26,5.0,5.950861349999999,7.4,10.097974860335194,0.0986163026028821,21.56127792973089
1983-12-27,5.0,24.62863591,7.4,12.82303910614525,0.08016456256227614,24.151074521381968
1983-12-28,9.0,5.736521415,8.5,11.85395530726257,0.13500848597665135,23.402777030788485
1983-12-29,9.0,0.12006417,8.5,8.054974860335195,0.14798234989507886,17.53313999546335
1983-12-30,9.0,0.3679846299999999,8.5,5.7945418994413425,0.058675108531660525,12.074305055477526
1983-12-31,9.0,8.54475003,8.5,4.825206703910613,0.1339353400480766,8.669685923812754
1984-01-01,9.0,51.62869266999999,8.5,26.276656424581,0.09758825664216288,36.68930274313926
1984-01-02,9.0,30.945637914999995,8.5,26.56862849162011,0.10517940137576637,35.285319821168315
