hour_ended,P Cl mg/l,P water flux mm/day,Q Cl mg/l,Q water flux mm/day,ET0 mm/day,S mm,P Mg mg/l,Q Mg mg/l
11/20/1983,2.5,1.518924355,7.5,1.061698324,0.164727719,-22.61870854,0.19,0.89
11/21/1983,0,0,7.5,1.021324022,0.349140206,-23.51452068,0,0.89
11/22/1983,0,0,7.5,0.97873743,0.275143998,-24.56617882,0,0.89
11/23/1983,0,0,8.8,0.986530726,0.340446314,-24.4709328,0,0.86
11/24/1983,2.5,9.14072805,8.8,1.103329609,0.162082517,-22.0299162,0.19,0.86
11/25/1983,2.5,65.50855099,8.8,13.89982123,0.102598222,29.9132654,0.19,0.86
11/26/1983,2.5,43.1645491,8.8,29.69286034,0.141305182,36.48261012,0.19,0.86
11/27/1983,2.5,60.93818699,8.8,39.92477933,0.165833251,39.62613347,0.19,0.86
11/28/1983,2.5,18.53536522,8.8,18.13738827,0.330607867,29.72033556,0.19,0.86
11/29/1983,2.5,0.780697375,8.8,7.946094972,0.18085145,17.56669647,0.19,0.86
11/30/1983,7.7,1.288515605,7.8,5.445502793,0.105176274,10.95820296,0.06,1
12/1/1983,7.7,0.253909115,7.8,4.465659218,0.024267438,7.390893874,0.06,1
12/2/1983,0,0,7.8,3.913793296,0.84691104,4.951102699,0,1
12/3/1983,0,0,7.8,3.554824022,0.561113345,3.135382026,0,1
12/4/1983,0,0,7.8,3.308354749,0.467394821,1.757945078,0,1
12/5/1983,7.7,4.5,7.8,3.21073743,0.018885294,1.158500304,0.06,1
12/6/1983,7.7,0.5,7.8,3.063620112,0.098692858,0.269719474,0.06,1
12/7/1983,1,2.888733285,7.1,2.975606145,0.110356834,-0.348937059,0.06,0.73
12/8/1983,1,78.52721271,7.1,29.42062291,0.051906815,40.75564142,0.06,0.73
12/9/1983,1,18.69966281,7.1,26.40356145,0.077402207,37.5196027,0.06,0.73
12/10/1983,1,0.9847488,7.2,7.851343575,0,17.42710057,0.06,0.85
12/11/1983,0,0,7.2,5.314248603,0,10.52973899,0,0.85
12/12/1983,1,0.52384571,7.2,4.484011173,0,7.428433882,0.06,0.85
12/13/1983,1,7.21966677,7.2,5.934921788,0.120665336,12.26541866,0.06,0.85
12/14/1983,1.8,22.67075772,6.7,9.018276536,0.101843922,19.52866045,0.11,0.72
12/15/1983,1.8,2.296933545,6.7,10.71334358,0.044344204,22.47854253,0.11,0.72
12/16/1983,1.8,3.55935534,6.7,6.624502793,0.047389943,14.28178703,0.11,0.72
12/17/1983,1.8,0.49600682,6.7,5.105639665,0.028164288,9.886515901,0.11,0.72
12/18/1983,1.8,1.822721255,6.7,4.114030726,0.04282133,5.888041352,0.11,0.72
12/19/1983,1.8,14.37815332,6.7,6.211256983,0.035428654,13.03385711,0.11,0.72
12/20/1983,1.8,21.78058138,6.7,8.44275419,0.079602429,17.1836264,0.11,0.72
12/21/1983,5,4.17655305,8.1,12.79880447,0.104946768,25.58519335,0.31,0.7
12/22/1983,5,6.194651065,8.1,7.381307263,0.109759919,16.03795015,0.31,0.7
12/23/1983,5,20.9815036,8.1,13.08288268,0.038220267,25.71168075,0.31,0.7
12/24/1983,5,37.28074155,7.4,28.86232123,0.073228765,36.22348934,0.31,0.75
12/25/1983,5,18.88818671,7.4,12.59565084,0.094730952,24.12758683,0.31,0.75
12/26/1983,5,5.95086135,7.4,10.09797486,0.098616303,21.56127793,0.31,0.75
12/27/1983,5,24.62863591,7.4,12.82303911,0.080164563,24.15107452,0.31,0.75
